date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:58	1187/1187	---MC-	200	added ('OK')	text/plain	date:Sat,%2029%20May%202021%2003:45:58%20GMT	https://www.internetcafe.games/robots.txt		(from )
23:45:58	57343/57343	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2003:45:58%20GMT	https://www.internetcafe.games/	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/index.html	(from )
23:45:59	198335/198335	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:27:49%20GMT	https://www.internetcafe.games/system/apps/sites/dist/css/main-6c0c53c6.css	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/system/apps/sites/dist/css/main-6c0c53c6.css	(from https://www.internetcafe.games/)
23:46:00	376129/376129	---M--	200	added ('OK')	text/javascript	date:Tue,%2027%20Apr%202021%2014:57:07%20GMT	https://www.internetcafe.games/system/apps/sites/dist/js/main-ff3d6322.js	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/system/apps/sites/dist/js/main-ff3d6322.js	(from https://www.internetcafe.games/)
23:46:00	34074/34074	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2003:46:01%20GMT	https://www.internetcafe.games/contact-us	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/contact-us.html	(from https://www.internetcafe.games/)
23:46:01	25050/25050	---M--	200	added ('OK')	image/png	etag:%22f717a4c38949395f54aab4d15da7edae%22	https://image6.zibster.com/8933/12_20210115161821_10880245_large.png	C:/Lucky%20Sweeps/njilndz/image6.zibster.com/8933/12_20210115161821_10880245_large.png	(from https://www.internetcafe.games/)
23:46:01	53579/53579	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2003:46:02%20GMT	https://www.internetcafe.games/gaming-systems	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/gaming-systems.html	(from https://www.internetcafe.games/)
23:46:02	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/news	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/news.5.delayed	(from https://www.internetcafe.games/)
23:46:03	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/faq	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/faq.6.delayed	(from https://www.internetcafe.games/)
23:46:03	175/175	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Jun%202019%2016:49:12%20GMT	https://www.internetcafe.games/global/images/placeholder_1px.png	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/global/images/placeholder_1px.png	(from https://www.internetcafe.games/)
23:46:06	1227607/1227607	---M--	200	added ('OK')	image/jpeg	etag:%22e243de42314aaf1a3d4560c2d903faf3%22	https://image11.zibster.com/8562/12_20201229185613_10865045_xlarge.jpg	C:/Lucky%20Sweeps/njilndz/image11.zibster.com/8562/12_20201229185613_10865045_xlarge.jpg	(from https://www.internetcafe.games/)
23:46:06	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/golden-dragon	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/golden-dragon.9.delayed	(from https://www.internetcafe.games/)
23:46:07	54551/54551	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2003:46:07%20GMT	https://www.internetcafe.games/riversweeps	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/riversweeps.html	(from https://www.internetcafe.games/)
23:46:07	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/fire-kirin	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/fire-kirin.b.delayed	(from https://www.internetcafe.games/)
23:46:08	45098/45098	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2003:46:09%20GMT	https://www.internetcafe.games/river-monster	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/river-monster.html	(from https://www.internetcafe.games/)
23:46:09	117/117	---M--	429	error ('Too%20Many%20Requests')	text/html		https://www.internetcafe.games/phantom-wifi	C:/Lucky%20Sweeps/njilndz/www.internetcafe.games/phantom-wifi.d.delayed	(from https://www.internetcafe.games/)
23:46:10	385885/385885	---M--	200	added ('OK')	image/jpeg	etag:%22bff2fca7459bd6ac3b9be51f7cf79d71%22	https://image3.zibster.com/8939/12_20201222085034_10858117_xlarge.jpg	C:/Lucky%20Sweeps/njilndz/image3.zibster.com/8939/12_20201222085034_10858117_xlarge.jpg	(from https://www.internetcafe.games/)
23:46:10	394287/394287	---M--	200	added ('OK')	image/jpeg	etag:%22223bd4e6f43ee5c6c4da5f685287e908%22	https://image11.zibster.com/8630/12_20201222085450_10858135_xlarge.jpg	C:/Lucky%20Sweeps/njilndz/image11.zibster.com/8630/12_20201222085450_10858135_xlarge.jpg	(from https://www.internetcafe.games/)
